Item,Item,Nomenclature,Figure
1,,"VHF-FM \#1 Antenna, AS-4153/ARC(405-10)",trpylon,1
2,,"VHF-FM \#1 Coupler Ant, CU-2457/ARC(405-11-1)",vhf-coupler,
3,,VHF-FM \#2 (Leading Edge Ant) FM10-267),trpylon,2
4,1,"VHF-FM Troop Commander Ant, FM10-3230",t-c-ant,
4,1,"70600-06001-104, Troop Commander Ant",t-c-ant,
